Unnamed: 0.1,Unnamed: 0,French,English
1,1,histoire,history
3,3,seulement,only
4,4,police,police
5,5,demande,request
6,6,genre,kind
7,7,mois,month
8,8,frère,brother
9,9,laisser,let
11,11,mettre,to put
12,14,ville,city
13,15,parlé,speak
14,16,arrivé,come
15,17,devrait,should
16,18,bébé,baby
17,19,longtemps,long time
18,20,heures,hours
19,21,vont,will
20,22,pendant,while
22,24,aucune,any
23,25,place,square
24,26,parle,speak
26,28,savais,knew
27,29,étaient,were
28,31,pourrais,could
29,32,affaire,case
30,33,donner,give
32,35,donné,given
33,36,train,train
34,37,endroit,place
35,38,yeux,eyes
39,42,trouve,find
41,44,perdu,lost
42,45,première,first
43,46,côté,side
45,48,sois,be
46,49,tiens,here
48,51,tellement,so much
49,52,enfant,child
50,53,point,point
51,54,venu,came
52,55,suite,after
53,56,pardon,sorry
54,57,venez,come
56,59,vers,towards
57,60,minutes,minutes
58,61,demandé,request
59,62,mis,placed
60,63,belle,beautiful
62,65,aimerais,would like to
65,68,enfin,finally
66,69,espère,hope
69,72,parti,left
70,73,nouvelle,new
74,77,terre,Earth
76,79,donne,given
77,80,loin,far
78,81,fin,end
79,82,chérie,sweetheart
80,83,gros,large
83,86,filles,girls
84,87,jouer,to play
85,88,bureau,office
